episode,result,blue_score,purple_score,steps
1,purple_win_timeout,5,7,5000
2,purple_win,7,10,2807
3,blue_win,10,8,2909
4,purple_win,7,10,3520
5,blue_win,10,3,1624
6,blue_win,10,9,4194
7,purple_win,5,10,2017
8,purple_win,6,10,4153
9,purple_win,2,10,2881
10,blue_win,10,6,4008
11,blue_win,10,6,3462
12,blue_win,10,7,4754
13,purple_win,4,10,3700
14,purple_win,9,10,4467
15,purple_win,3,10,3504
16,purple_win,7,10,4276
17,purple_win,6,10,3081
18,blue_win,10,3,3322
19,purple_win_timeout,6,9,5000
20,purple_win,7,10,3420
21,blue_win,10,4,2476
22,purple_win,9,10,4297
23,purple_win,5,10,3608
24,purple_win_timeout,7,9,5000
25,blue_win,10,6,3269
26,blue_win,10,7,3944
27,blue_win,10,9,4755
28,purple_win,4,10,2421
29,purple_win_timeout,6,7,5000
30,draw_timeout,9,9,5000
31,purple_win,2,10,2129
32,purple_win,4,10,3160
33,purple_win,7,10,3153
34,purple_win,9,10,4669
35,purple_win,3,10,1822
36,purple_win,6,10,3149
37,blue_win,10,1,2567
38,purple_win,6,10,1900
39,purple_win,6,10,2557
40,blue_win,10,8,3746
41,purple_win,7,10,4977
42,purple_win,6,10,4818
43,purple_win,9,10,4368
44,purple_win,7,10,2979
45,blue_win,10,6,4268
46,blue_win,10,9,4855
47,purple_win,3,10,1900
48,draw_timeout,9,9,5000
49,purple_win,9,10,3612
50,draw_timeout,9,9,5000
