episode,result,blue_score,purple_score,steps
1,purple_win,5,10,2779
2,purple_win,7,10,4373
3,blue_win,10,5,3616
4,purple_win,5,10,3267
5,blue_win,10,6,2846
6,blue_win,10,3,3622
7,blue_win,10,9,3013
8,blue_win,10,8,3817
9,blue_win,10,5,2110
10,blue_win,10,6,4354
11,blue_win,10,5,2944
12,blue_win,10,5,3744
13,draw_timeout,9,9,5000
14,blue_win,10,4,2975
15,blue_win,10,6,4444
16,blue_win,10,7,3563
17,purple_win,7,10,2419
18,blue_win,10,6,4179
19,purple_win_timeout,5,7,5000
20,purple_win,9,10,3690
21,blue_win,10,8,3597
22,purple_win,7,10,3946
23,purple_win,5,10,2095
24,blue_win,10,9,2634
25,blue_win,10,6,3347
26,blue_win,10,3,2050
27,blue_win,10,8,3987
28,purple_win,8,10,4508
29,blue_win,10,9,4901
30,purple_win,8,10,3686
31,blue_win,10,8,3243
32,blue_win,10,9,3440
33,blue_win,10,6,2105
34,purple_win,9,10,4036
35,purple_win,2,10,2565
36,purple_win,8,10,2802
37,blue_win,10,4,4543
38,blue_win,10,7,3348
39,purple_win,6,10,2303
40,purple_win,5,10,2349
41,blue_win,10,5,2662
42,purple_win,0,10,2910
43,purple_win,8,10,2196
44,purple_win,8,10,3028
45,purple_win,9,10,3133
46,blue_win,10,9,3399
47,blue_win,10,6,2123
48,blue_win,10,4,3712
49,blue_win,10,6,1549
50,blue_win,10,6,3766
