episode,result,blue_score,purple_score,steps
1,blue_win,10,5,2176
2,blue_win,10,7,3585
3,blue_win,10,9,4011
4,blue_win,10,2,2655
5,purple_win,5,10,2679
6,blue_win,10,8,3264
7,purple_win,9,10,2804
8,blue_win,10,5,3104
9,blue_win,10,9,3069
10,purple_win,7,10,3753
11,purple_win_timeout,7,9,5000
12,blue_win,10,8,3812
13,blue_win,10,8,2783
14,purple_win,7,10,4337
15,blue_win,10,8,4288
16,blue_win,10,1,2804
17,blue_win,10,6,3714
18,blue_win_timeout,8,4,5000
19,blue_win,10,7,2538
20,blue_win,10,6,4898
21,purple_win,7,10,2958
22,blue_win,10,5,2220
23,purple_win,7,10,3627
24,blue_win,10,8,3937
25,blue_win,10,4,3288
26,blue_win,10,6,3312
27,blue_win,10,6,3021
28,blue_win,10,5,2798
29,blue_win_timeout,9,7,5000
30,blue_win,10,6,3517
31,blue_win_timeout,9,5,5000
32,blue_win,10,3,2682
33,blue_win,10,5,2990
34,purple_win,8,10,3533
35,blue_win,10,4,2156
36,blue_win,10,9,4699
37,blue_win,10,8,3916
38,blue_win,10,5,3396
39,draw_timeout,8,8,5000
40,blue_win,10,7,4841
41,blue_win_timeout,8,5,5000
42,blue_win,10,3,3526
43,blue_win,10,3,2777
44,blue_win,10,9,3663
45,purple_win,5,10,3672
46,blue_win,10,7,4605
47,blue_win,10,5,2629
48,purple_win_timeout,8,9,5000
49,purple_win,9,10,4430
50,blue_win,10,4,3369
