episode,result,blue_score,purple_score,steps
1,purple_win,6,10,3532
2,purple_win,8,10,3489
3,blue_win,10,9,4275
4,purple_win,8,10,4006
5,purple_win,8,10,2839
6,purple_win,5,10,1935
7,blue_win,10,9,2151
8,blue_win,10,9,2909
9,purple_win,2,10,2176
10,purple_win,9,10,4066
11,purple_win,8,10,4617
12,blue_win,10,9,2352
13,purple_win,5,10,2043
14,purple_win,7,10,4146
15,blue_win,10,9,3717
16,blue_win_timeout,8,7,5000
17,purple_win,4,10,4727
18,purple_win,3,10,2836
19,purple_win,3,10,2198
20,draw_timeout,8,8,5000
21,purple_win,7,10,4539
22,purple_win,9,10,3979
23,purple_win,6,10,2299
24,purple_win,7,10,3185
25,blue_win,10,4,2251
26,blue_win,10,6,2847
27,purple_win,8,10,4431
28,purple_win,6,10,3325
29,purple_win,4,10,3173
30,purple_win,9,10,3355
31,purple_win,8,10,3710
32,blue_win,10,8,4228
33,blue_win,10,4,3421
34,purple_win,7,10,3231
35,purple_win,8,10,3882
36,blue_win,10,9,4023
37,purple_win,7,10,3537
38,purple_win,6,10,3878
39,blue_win,10,5,3052
40,purple_win,8,10,2954
41,draw_timeout,7,7,5000
42,blue_win,10,8,2582
43,purple_win,5,10,4160
44,blue_win,10,5,3137
45,purple_win,6,10,3791
46,blue_win,10,4,2685
47,purple_win,6,10,2052
48,blue_win,10,6,2979
49,purple_win,6,10,3240
50,purple_win,7,10,3984
