episode,result,blue_score,purple_score,steps
1,purple_win,3,10,1502
2,purple_win,7,10,4846
3,blue_win,10,6,4583
4,purple_win_timeout,6,7,5000
5,blue_win,10,8,3020
6,blue_win,10,4,2496
7,blue_win,10,5,3614
8,blue_win,10,4,3090
9,blue_win,10,7,1639
10,blue_win_timeout,9,8,5000
11,purple_win,6,10,3476
12,blue_win,10,4,2242
13,purple_win,8,10,4947
14,blue_win,10,7,3351
15,purple_win,9,10,2558
16,blue_win,10,7,3128
17,purple_win,7,10,3421
18,purple_win,3,10,1702
19,blue_win,10,5,3742
20,purple_win_timeout,6,9,5000
21,purple_win,2,10,2690
22,purple_win,8,10,2994
23,purple_win,4,10,3708
24,blue_win,10,8,3521
25,blue_win,10,3,3540
26,blue_win,10,8,3033
27,blue_win,10,3,2627
28,blue_win,10,8,4316
29,purple_win,2,10,1972
30,purple_win,5,10,3116
31,purple_win,5,10,2995
32,purple_win,8,10,4002
33,purple_win,6,10,3520
34,blue_win,10,6,2011
35,purple_win,8,10,3968
36,blue_win,10,3,1975
37,purple_win_timeout,7,9,5000
38,purple_win,5,10,1870
39,purple_win,5,10,2239
40,blue_win,10,8,3796
41,blue_win,10,8,1439
42,purple_win,4,10,2497
43,purple_win,7,10,2347
44,blue_win,10,7,2219
45,purple_win,4,10,3206
46,blue_win,10,2,1878
47,blue_win_timeout,6,5,5000
48,purple_win,9,10,3331
49,blue_win,10,6,2711
50,blue_win,10,2,2642
