episode,result,blue_score,purple_score,steps
1,blue_win,10,5,2831
2,blue_win,10,3,3943
3,purple_win,8,10,2364
4,purple_win,8,10,1996
5,blue_win,10,6,4449
6,purple_win,9,10,3289
7,purple_win,8,10,3604
8,blue_win,10,8,3405
9,purple_win,8,10,3443
10,blue_win,10,4,3618
11,blue_win,10,9,4009
12,blue_win,10,9,3458
13,purple_win,9,10,3869
14,blue_win,10,7,2808
15,purple_win,8,10,3248
16,purple_win_timeout,5,6,5000
17,purple_win,9,10,4434
18,draw_timeout,7,7,5000
19,blue_win_timeout,9,8,5000
20,blue_win_timeout,5,4,5000
21,blue_win,10,6,3648
22,blue_win,10,4,2742
23,blue_win,10,5,3048
24,purple_win,9,10,4443
25,purple_win,6,10,3527
26,blue_win,10,8,4158
27,blue_win,10,8,3771
28,purple_win,9,10,3979
29,purple_win,6,10,2676
30,purple_win,8,10,3373
31,purple_win_timeout,8,9,5000
32,blue_win,10,8,4991
33,purple_win,7,10,1652
34,purple_win,8,10,3524
35,purple_win,7,10,3271
36,blue_win,10,6,4025
37,blue_win,10,6,4711
38,purple_win,6,10,4203
39,blue_win,10,7,2034
40,blue_win,10,8,4332
41,purple_win_timeout,5,6,5000
42,blue_win,10,7,2791
43,blue_win,10,7,3464
44,blue_win,10,5,3338
45,purple_win,4,10,3342
46,blue_win,10,4,3849
47,blue_win,10,9,3705
48,purple_win,9,10,3633
49,blue_win,10,9,3453
50,blue_win,10,6,4983
