episode,result,blue_score,purple_score,steps
1,purple_win,3,10,2357
2,purple_win,6,10,2861
3,blue_win,10,6,2004
4,purple_win_timeout,5,8,5000
5,blue_win,10,3,2291
6,purple_win,0,10,2977
7,purple_win,4,10,2780
8,purple_win,9,10,4078
9,draw_timeout,8,8,5000
10,blue_win,10,7,1810
11,purple_win,3,10,2488
12,blue_win,10,6,2641
13,purple_win,5,10,2774
14,purple_win,8,10,4492
15,purple_win_timeout,7,9,5000
16,purple_win,6,10,4267
17,blue_win,10,7,4343
18,purple_win,1,10,1896
19,blue_win,10,7,2913
20,blue_win,10,7,3901
21,purple_win,9,10,3503
22,blue_win,10,8,3907
23,purple_win,7,10,3995
24,purple_win,5,10,3566
25,blue_win,10,6,3153
26,purple_win,5,10,4101
27,purple_win,0,10,1084
28,purple_win,6,10,4695
29,purple_win,4,10,2925
30,purple_win,9,10,3603
31,purple_win,2,10,1396
32,blue_win,10,6,3092
33,purple_win,8,10,3471
34,purple_win,8,10,4575
35,purple_win,4,10,3253
36,purple_win,6,10,3083
37,blue_win,10,4,2638
38,blue_win,10,8,3935
39,blue_win,10,9,4705
40,blue_win,10,4,3393
41,purple_win,2,10,3014
42,purple_win,2,10,3308
43,purple_win,4,10,3104
44,purple_win,8,10,3795
45,purple_win,2,10,1728
46,purple_win,4,10,3549
47,purple_win,6,10,3614
48,purple_win,8,10,3911
49,blue_win,10,6,2066
50,purple_win,6,10,3491
