episode,result,blue_score,purple_score,steps
1,purple_win,7,10,3216
2,purple_win,4,10,3086
3,blue_win,10,6,3132
4,blue_win,10,7,2797
5,draw_timeout,7,7,5000
6,purple_win,4,10,3490
7,purple_win,9,10,4562
8,purple_win,8,10,4094
9,purple_win,6,10,4247
10,purple_win,5,10,2463
11,purple_win,8,10,4236
12,purple_win,9,10,3655
13,blue_win,10,6,3981
14,purple_win,7,10,2891
15,purple_win,3,10,1524
16,purple_win,8,10,2743
17,blue_win,10,5,2305
18,blue_win,10,8,3878
19,purple_win,6,10,4386
20,blue_win,10,7,2999
21,purple_win,8,10,4468
22,purple_win,8,10,4148
23,blue_win,10,9,4238
24,blue_win_timeout,9,8,5000
25,purple_win,5,10,3908
26,purple_win,5,10,2479
27,blue_win,10,8,4820
28,purple_win,6,10,3392
29,purple_win,1,10,1969
30,blue_win,10,5,2372
31,purple_win,8,10,3399
32,purple_win,7,10,3985
33,blue_win,10,5,3465
34,purple_win,8,10,4587
35,purple_win,8,10,3824
36,blue_win,10,8,3486
37,blue_win,10,8,2417
38,purple_win,9,10,3058
39,blue_win,10,9,4152
40,purple_win,6,10,3350
41,purple_win,9,10,4233
42,purple_win,6,10,2913
43,purple_win,9,10,4005
44,purple_win,7,10,3350
45,purple_win,8,10,4344
46,blue_win,10,6,3026
47,purple_win,9,10,2983
48,purple_win_timeout,8,9,5000
49,purple_win,7,10,2715
50,purple_win,5,10,3370
