episode,result,blue_score,purple_score,steps
1,blue_win,10,4,2749
2,purple_win,7,10,2967
3,blue_win,10,8,4839
4,blue_win,10,7,3309
5,blue_win,10,9,3926
6,blue_win,10,4,4003
7,purple_win,7,10,3602
8,blue_win_timeout,8,6,5000
9,purple_win,5,10,2461
10,purple_win,3,10,3613
11,blue_win,10,1,867
12,blue_win,10,4,3694
13,purple_win,5,10,2271
14,blue_win,10,2,3173
15,blue_win,10,3,2852
16,purple_win,9,10,3112
17,blue_win,10,8,4583
18,purple_win_timeout,8,9,5000
19,purple_win_timeout,1,8,5000
20,blue_win,10,3,3543
21,blue_win,10,7,4414
22,blue_win,10,3,3128
23,blue_win,10,6,4298
24,blue_win,10,4,3303
25,blue_win,10,9,4711
26,blue_win,10,8,4276
27,purple_win_timeout,5,9,5000
28,blue_win,10,5,2488
29,purple_win_timeout,8,9,5000
30,blue_win_timeout,9,5,5000
31,blue_win,10,8,2948
32,purple_win,7,10,3341
33,purple_win_timeout,4,6,5000
34,blue_win_timeout,9,7,5000
35,purple_win,8,10,3548
36,blue_win,10,8,4248
37,blue_win,10,5,2925
38,purple_win,7,10,3974
39,purple_win,8,10,4696
40,blue_win,10,6,3876
41,purple_win,9,10,3258
42,purple_win,6,10,2963
43,blue_win,10,9,3962
44,purple_win,8,10,4263
45,blue_win,10,8,4101
46,purple_win_timeout,7,8,5000
47,blue_win_timeout,9,8,5000
48,purple_win,9,10,3781
49,purple_win,9,10,3635
50,purple_win,8,10,3067
